ID,Name,Type,Effect,Desc
1,Axebreaker 1,breaker,"Green,Axe","If unit's HP ≥ 90% in combat against an axe user, unit makes a follow-up attack and the foe cannot."
2,Axebreaker 2,breaker,"Green,Axe","If unit's HP ≥ 70% in combat against an axe user, unit makes a follow-up attack and the foe cannot."
3,Axebreaker 3,breaker,"Green,Axe","If unit's HP ≥ 50% in combat against an axe user, unit makes a follow-up attack and the foe cannot."
4,B Tomebreaker 1,breaker,"Blue,Tome","If unit's HP ≥ 90% in combat against a blue tome user, unit makes a follow-up attack and foe cannot."
5,B Tomebreaker 2,breaker,"Blue,Tome","If unit's HP ≥ 70% in combat against a blue tome user, unit makes a follow-up attack and foe cannot."
6,B Tomebreaker 3,breaker,"Blue,Tome","If unit's HP ≥ 50% in combat against a blue tome user, unit makes a follow-up attack and foe cannot."
7,Bowbreaker 1,breaker,"Colorless,Bow","If unit's HP ≥ 90% in combat against a bow user, unit makes a follow-up attack and foe cannot."
8,Bowbreaker 2,breaker,"Colorless,Bow","If unit's HP ≥ 70% in combat against a bow user, unit makes a follow-up attack and foe cannot."
9,Bowbreaker 3,breaker,"Colorless,Bow","If unit's HP ≥ 50% in combat against a bow user, unit makes a follow-up attack and foe cannot."
10,Brash Assault 1,ba,0.3,Unit automatically makes a follow-up when at HP < 30% and attacking a foe that can counter.
11,Brash Assault 2,ba,0.4,Unit automatically makes a follow-up when at HP < 40% and attacking a foe that can counter.
12,Brash Assault 3,ba,0.5,Unit automatically makes a follow-up when at HP < 50% and attacking a foe that can counter.
13,Daggerbreaker 1,breaker,"Colorless,Dagger","If unit's HP ≥ 90% in combat against a dagger user, unit makes a follow-up attack and foe cannot."
14,Daggerbreaker 2,breaker,"Colorless,Dagger","If unit's HP ≥ 70% in combat against a dagger user, unit makes a follow-up attack and foe cannot."
15,Daggerbreaker 3,breaker,"Colorless,Dagger","If unit's HP ≥ 50% in combat against a dagger user, unit makes a follow-up attack and foe cannot."
16,Desperation 1,desp,0.25,"If unit initiates combat with HP ≤ 25%, follow-up attacks occur immediately after unit's attack."
17,Desperation 2,desp,0.5,"If unit initiates combat with HP ≤ 50%, follow-up attacks occur immediately after unit's attack."
18,Desperation 3,desp,0.75,"If unit initiates combat with HP ≤ 75%, follow-up attacks occur immediately after unit's attack."
19,Drag Back,mobility,combat,"If unit initiates attack, the unit moves 1 space away after combat. Foe moves into unit's previous space."
20,Escape Route 1,mobility,warp,Enables unit whose own HP ≤ 30% to wrap adjacent to any ally.
21,Escape Route 2,mobility,warp,Enables unit whose own HP ≤ 40% to wrap adjacent to any ally.
22,Escape Route 3,mobility,warp,Enables unit whose own HP ≤ 50% to wrap adjacent to any ally.
23,G Tomebreaker 1,breaker,"Green,Tome","If unit's HP ≥ 90% in combat against a green tome user, unit makes a follow-up attack and foe cannot."
24,G Tomebreaker 2,breaker,"Green,Tome","If unit's HP ≥ 70% in combat against a green tome user, unit makes a follow-up attack and foe cannot."
25,G Tomebreaker 3,breaker,"Green,Tome","If unit's HP ≥ 50% in combat against a green tome user, unit makes a follow-up attack and foe cannot."
26,Guard 1,cooldown,"HP,1","If unit's HP is 100% at start of combat, enemy is inflicted with Special cooldown charge-1."
